Category,CategoryLevel1,CategoryLevel2,Legend,LegendLevel1,LegendLevel2,Group,GroupLevel1,GroupLevel2,Start,End,StartDate,EndDate,StartHierarchy,EndHierarchy,StartLabel,EndLabel
Nordic Pact 251,Contemporary,Nordic Pact,East Asia,Asia,Eastern Asia,CONTEMPORARY WORLD,Contemporary,Middle,2030,2033,2030-11-24,2033-07-21,2030 Q4,2033 Q3,2030-11,2033-07
Persian Alliance 252,Contemporary,Persian Alliance,South Asia,Asia,Indian Subcontinent,CONTEMPORARY WORLD,Contemporary,Late,2033,2036,2033-06-08,2036-03-11,2033 Q2,2036 Q1,2033-06,2036-03
Saharan Confederacy 253,Contemporary,Saharan Confederacy,Middle East,Afro Eurasia,Near East,CONTEMPORARY WORLD,Contemporary,Early,2036,2038,2036-01-19,2038-11-28,2036 Q1,2038 Q4,2036-01,2038-11
Silk Road Polity 254,Contemporary,Silk Road Polity,Sub Saharan Africa,Africa,Central and Southern Africa,CONTEMPORARY WORLD,Contemporary,Middle,2040,2043,2040-08-03,2043-07-20,2040 Q3,2043 Q3,2040-08,2043-07
Steppe Horde 255,Contemporary,Steppe Horde,Steppe,Eurasia,Inner Eurasia,CONTEMPORARY WORLD,Contemporary,Late,2043,2046,2043-03-14,2046-04-05,2043 Q1,2046 Q2,2043-03,2046-04
Andean State 256,Contemporary,Andean State,Oceania,Pacific,Austral Pacific,CONTEMPORARY WORLD,Contemporary,Early,2047,2050,2047-10-25,2050-12-23,2047 Q4,2050 Q4,2047-10,2050-12
Amazonian Realm 257,Contemporary,Amazonian Realm,Americas,Americas,Western Hemisphere,CONTEMPORARY WORLD,Contemporary,Middle,2050,2053,2050-05-09,2053-08-13,2050 Q2,2053 Q3,2050-05,2053-08
Mississippian Coalition 258,Contemporary,Mississippian Coalition,Europe,Europe,Western Eurasia,CONTEMPORARY WORLD,Contemporary,Late,2053,2057,2053-12-20,2057-05-02,2053 Q4,2057 Q2,2053-12,2057-05
Mesoamerican Alliance 259,Contemporary,Mesoamerican Alliance,East Asia,Asia,Eastern Asia,CONTEMPORARY WORLD,Contemporary,Early,2057,2060,2057-07-04,2060-12-21,2057 Q3,2060 Q4,2057-07,2060-12
Caribbean Domain 260,Contemporary,Caribbean Domain,South Asia,Asia,Indian Subcontinent,CONTEMPORARY WORLD,Contemporary,Middle,2060,2063,2060-02-15,2063-09-10,2060 Q1,2063 Q3,2060-02,2063-09
